index,x1,y1,x2,y2,x3,y3,x,y,z
0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
11,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
12,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
13,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
14,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
15,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
16,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
17,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
18,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
19,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
20,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
21,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
22,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
23,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
24,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
26,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
27,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
28,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
29,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
30,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
31,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
32,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
33,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
34,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
35,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
36,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
37,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
38,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
39,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
40,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
41,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
43,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
44,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
45,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
46,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
47,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
48,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
49,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
50,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
51,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
52,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
53,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
54,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
55,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
56,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
57,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
58,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
59,47.5,140.0,752.5,164.5,339.5,189.5,12.040157170613407,7.473751657402613,2.6091466596064246
60,89.0,142.0,764.0,165.0,345.0,191.0,12.242041677918037,7.518722844301958,2.58315890146092
61,128.0,145.5,785.0,168.0,351.0,194.0,12.47981698978323,7.573320470508932,2.5517261298493428
62,168.0,151.0,799.5,172.0,359.0,197.5,12.668918656415864,7.6176531339148195,2.5262307499922017
63,208.0,155.5,814.0,177.0,364.5,202.0,12.87658944622486,7.666895063421011,2.4978516508194692
